participant,text_name,gender,age,loc,JCATscore,lang,JLPT,Text Length,Avg Sent Length,Avg NP length,Avg VP length,Subordinate Clauses per sentence,Subordinate Clauses per clause,Coordinate Clauses per sentence,Coordinate Clauses per clause,Subordinate Clauses per Coordinate Clauses,CCfreq,SCfreq,Avg Clause Length,Avg Clause per Sent,MDD,MHD,CTTR,MTLD,noun_density,verb_density,adjective_density,adverb_density,mci_5_surface,mci_10_surface,mci_5_inflection,mci_10_inflection,JRMA_all_MTLD,JRMA_content_MTLD,JRMA_function_MTLD,JRMA_all_MATTR,JRMA_content_MATTR,JRMA_function_MATTR,LFP_total_tokens,JLPT Vocab N1,JLPT Vocab N2,JLPT Vocab N3,JLPT Vocab N4,JLPT Vocab N5,LFP_OOV_percent,LFP_6k_percent,LFP_5k_percent,LFP_1k_percent,LFP_7k_percent,LFP_OOV_count,LFP_6k_count,LFP_5k_count,LFP_1k_count,LFP_7k_count,match_tsuideni_N3,match_tetamaranai_N2,match_marude_N3,match_kamoshirenai_N4,match_sae_N3,match_tsumoride_N3,match_ippou_N2,match_mottomo_N2,match_aete_N1,match_sonoue_N2,match_kotogaaru_N4,match_taradou_N4,match_nao_N2,match_karashite_N2,match_sorenishitemo_N2,match_yagate_N2,match_dakedenaku_N3,match_moshikashitara_N3,match_katsute_N1,match_mitaini_N4,match_shikanai_N4,match_teshikarubeki_N1,match_nikaigiru_N2,match_kotohanai_N4,match_yasui_N4,match_tabini_N3,match_okagede_N3,match_temorau_N4,match_mokamawazu_N2,match_dounimonai_N1,match_saseru_N4,match_amarini_N3,match_nikakawarazu_N2,match_bakoso_N1,match_nikimatteiru_N2,match_nebanaranai_N2,match_saserareru_N4,match_naikotohanai_N3,match_ikoukei_N4,match_nimokakawarazu_N2,match_tsutsuaru_N2,match_burini_N2,match_shikamo_N2,match_hodonai_N3,match_monono_N2,match_soretomo_N3,match_enai_N2,match_tokangaerareru_N2,match_hougamashi_N1,match_annojyou_N1,match_younakigasuru_N3,match_temiseru_N1,match_shidai_N2,match_tetouzenda_N2,match_yara_N2,match_karasuruto_N2,match_nagaramo_N3,match_ijyou_N4,match_yorihokanai_N2,match_toiu_N3,match_nikuraberu_N3,match_teitadakimasen_N4,match_osoregaru_N2,match_keshitenai_N3,match_toha_N1,match_kirigani_N1,match_tekureru_N4,match_toiu_N1,match_gimi_N3,match_toiuyori_N3,match_nasaru_N4,match_nikui_N4,match_yori_N4,match_mitai_N4,match_kashira_N4,match_nikagitte_N2,match_onegau_N2,match_tekuru_N4,match_kaigaru_N2,match_shikanai_N3,match_tohaie_N1,match_deshouganai_N3,match_uchini_N3,match_nimotodzuite_N2,match_dakedo_N3,match_ippouda_N3,match_karaiuto_N2,match_youni_N4,match_nikotaete_N2,match_tsutsu_N2,match_katoomottara_N2,match_kuseni_N3,match_ppanashi_N3,match_koso_N3,match_gatai_N3,match_kiru_N3,match_arakajime_N1,match_teshimau_N4,match_kaigiri_N2,match_chigainai_N3,match_tehairarenai_N2,match_kanousei_N1,match_mushiro_N3,match_nasai_N4,match_gozaimasu_N4,match_naidehairarenai_N2,match_deshikanai_N2,match_monodakara_N2,match_bayokatta_N3,match_tohakagiranai_N3,match_ppoi_N3,match_hatashite_N2,match_amari_N3,match_tsumari_N3,match_toiumonoda_N2,match_ikurademo_N3,match_eru_N2,match_kirenai_N3,match_tokoro_bakari_N4,match_fuuni_N2,match_moshikuha_N1,match_nikagirazu_N2,match_totomoni_N3,match_gasuru_N4,match_zuni_N3,match_toomou_N4,match_seide_N3,match_sarani_N3,match_ikanaru_N1,match_kiraigaaru_N1,match_nisuginai_N2,match_temiru_N4,match_ukemi_N4,match_hodo_N3,match_tashikani_N3,match_bekida_N3,match_ijyouni_N2,LFP_3k_percent,LFP_3k_count,LFP_8k_percent,LFP_2k_percent,LFP_8k_count,LFP_2k_count,LFP_10k_percent,LFP_10k_count,LFP_4k_percent,LFP_4k_count,LFP_9k_percent,LFP_9k_count
IID02,m2,女性,21.0,インドネシア語,124,インドネシア語,N5,55,6.875,2.230769230769231,3.375,0.375,0.2727272727272727,0.25,0.18181818181818182,0.375,0.0,3.6363636363636362,5.0,1.375,2.148936170212766,1.6808510638297873,3.9091966159069287,90.47500000000001,0.32727272727272727,0.21818181818181817,0.05454545454545454,0.05454545454545454,3.0,,8.0,,80.4222222222222,,,0.7433333333333333,0.9411764705882353,0.6875,37,2.0,2.0,7.0,3.0,10.0,35.14,5.41,5.41,48.65,5.41,13.0,2.0,2.0,18.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
IID02,m3,女性,21.0,インドネシア語,124,インドネシア語,N5,33,5.5,2.4545454545454546,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1.0,1.8518518518518519,1.4814814814814814,2.9541957835039856,,0.3939393939393939,0.2727272727272727,0.030303030303030304,0.030303030303030304,,,,,,,,0.7272727272727273,1.0,0.4444444444444444,22,1.0,1.0,3.0,2.0,7.0,27.27,4.55,4.55,40.91,18.18,6.0,1.0,1.0,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,1.0,,,,,,,,,,
IID02,m1,女性,21.0,インドネシア語,124,インドネシア語,N5,73,7.3,2.388888888888889,3.0,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,1.36986301369863,4.10958904109589,6.083333333333333,1.2,2.4126984126984126,1.619047619047619,4.38631120959255,100.62769230769231,0.2876712328767123,0.2876712328767123,0.0136986301369863,0.0136986301369863,4.376,,13.991,,93.44000000000001,,,0.7816666666666667,0.9090909090909091,0.6428571428571429,54,3.0,1.0,13.0,2.0,14.0,24.07,1.85,1.85,62.96,3.7,13.0,1.0,1.0,34.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.85,3.7,1.0,2.0,,,,,,
IID02,SW1,女性,21.0,インドネシア語,124,インドネシア語,N5,113,16.142857142857142,2.488888888888889,4.142857142857143,1.2857142857142858,0.6,0.5714285714285714,0.26666666666666666,1.2857142857142858,1.7699115044247788,4.424778761061947,7.533333333333333,2.142857142857143,3.4245283018867925,2.19811320754717,3.791583599855114,56.5,0.2920353982300885,0.19469026548672566,0.017699115044247787,0.017699115044247787,6.386,9.734,9.402,11.806,50.48936170212766,,,0.6075000000000002,0.825,0.36585365853658536,86,2.0,,11.0,5.0,45.0,25.58,,2.33,65.12,,22.0,,2.0,56.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,2.0,,4.65,,4.0,,,,,,
IID02,SW2,女性,21.0,インドネシア語,124,インドネシア語,N5,115,14.375,2.4814814814814814,4.25,1.0,0.5,0.625,0.3125,1.0,3.4782608695652173,6.086956521739131,7.1875,2.0,3.3457943925233646,1.8037383177570094,3.296902366978935,38.83116883116883,0.22608695652173913,0.2956521739130435,0.0,0.0,7.113,11.716,14.209,19.978,33.3678756476684,,6.543788187372709,0.5893939393939394,0.6857142857142857,0.32,92,2.0,1.0,24.0,3.0,38.0,23.91,,5.43,64.13,2.17,22.0,,5.0,59.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.26,,3.0,1.09,1.0,,,,
IID02,e,女性,21.0,インドネシア語,124,インドネシア語,N5,190,11.875,2.101449275362319,3.1875,2.0625,0.868421052631579,0.0625,0.02631578947368421,2.0625,0.5263157894736842,4.2105263157894735,5.0,2.375,2.6954022988505746,2.1206896551724137,4.155212325944874,49.42567567567568,0.2789473684210526,0.2578947368421053,0.015789473684210527,0.015789473684210527,5.226,8.536,8.26,13.868,49.225496915695686,24.509695290858726,11.011940298507461,0.6510638297872335,0.5833333333333334,0.36923076923076914,150,1.0,1.0,19.0,12.0,64.0,22.67,0.67,1.33,58.0,0.67,34.0,1.0,2.0,87.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.33,12.67,2.0,19.0,1.33,2.0,1.33,2.0,,
SES01,e,女性,23.0,スペイン語,137,スペイン語,N5,372,14.307692307692308,2.2866666666666666,3.730769230769231,1.3846153846153846,0.631578947368421,0.2692307692307692,0.12280701754385964,1.3846153846153846,1.3440860215053763,2.956989247311828,6.526315789473684,2.1923076923076925,2.6705202312138727,2.066473988439306,4.472737008151276,54.4188528234771,0.2903225806451613,0.24193548387096775,0.021505376344086023,0.021505376344086023,5.818,9.272,12.789,17.762,47.25,29.799011532125206,11.923076923076923,0.6749226006191936,0.6990804597701146,0.37433962264150955,309,2.0,1.0,66.0,18.0,130.0,18.12,0.32,1.94,68.28,2.59,56.0,1.0,6.0,211.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,2.0,,7.77,,24.0,,,0.32,1.0,,
SES01,SW2,女性,23.0,スペイン語,137,スペイン語,N5,145,13.181818181818182,2.477272727272727,4.2727272727272725,1.1818181818181819,0.6190476190476191,0.45454545454545453,0.23809523809523808,1.1818181818181819,2.0689655172413794,4.137931034482759,6.904761904761905,1.9090909090909092,3.014925373134328,1.6194029850746268,3.053545141476458,36.25,0.3310344827586207,0.2620689655172414,0.006896551724137931,0.006896551724137931,5.884,10.108,14.057,19.291,34.07673860911271,,10.525925925925925,0.5785416666666665,0.6086956521739131,0.2866666666666667,118,1.0,2.0,23.0,7.0,56.0,24.58,0.85,11.02,58.47,0.85,29.0,1.0,13.0,69.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.54,,3.0,1.69,2.0,,,,
SES01,SW1,女性,23.0,スペイン語,137,スペイン語,N5,106,10.6,2.6842105263157894,4.0,0.9,0.6,0.2,0.13333333333333333,0.9,0.9433962264150944,1.8867924528301887,7.066666666666666,1.5,2.6145833333333335,1.5104166666666667,3.090612688845503,37.03614457831325,0.33962264150943394,0.24528301886792453,0.018867924528301886,0.018867924528301886,5.424,,9.493,,36.2807570977918,,,0.5814035087719298,0.75,0.2926829268292683,84,,,19.0,4.0,43.0,17.86,,7.14,64.29,,15.0,,6.0,54.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,3.0,,5.95,,5.0,,,1.19,1.0,,
SES01,m1,女性,23.0,スペイン語,137,スペイン語,N5,132,8.8,2.066666666666667,3.2666666666666666,0.5333333333333333,0.38095238095238093,0.2,0.14285714285714285,0.5333333333333333,0.7575757575757576,2.272727272727273,6.285714285714286,1.4,2.393162393162393,1.735042735042735,4.554385166235311,84.40384615384615,0.29545454545454547,0.26515151515151514,0.03787878787878788,0.03787878787878788,7.202,11.858,19.917,27.98,69.18274111675127,,,0.7146987951807229,0.7777777777777778,0.42857142857142855,94,4.0,,21.0,3.0,38.0,20.21,1.06,,67.02,1.06,19.0,1.0,,63.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.13,8.51,2.0,8.0,,,,,,
SES01,m3,女性,23.0,スペイン語,137,スペイン語,N5,110,8.461538461538462,2.0869565217391304,3.230769230769231,0.6153846153846154,0.4,0.3076923076923077,0.2,0.6153846153846154,1.8181818181818181,2.727272727272727,5.5,1.5384615384615385,2.6804123711340204,1.7525773195876289,4.382299106011073,92.59493670886074,0.33636363636363636,0.24545454545454545,0.00909090909090909,0.00909090909090909,6.063,8.798,10.907,13.816,71.62790697674419,,,0.682950819672131,0.7894736842105263,0.4444444444444444,80,4.0,,11.0,7.0,30.0,26.25,1.25,,58.75,5.0,21.0,1.0,,47.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.0,,1.25,,1.0,,,5.0,4.0,,
SES01,m2,女性,23.0,スペイン語,137,スペイン語,N5,136,10.461538461538462,1.9830508474576272,3.5384615384615383,0.6923076923076923,0.45,0.23076923076923078,0.15,0.6923076923076923,0.7352941176470588,2.941176470588235,6.8,1.5384615384615385,2.861788617886179,1.8780487804878048,4.305007344394911,51.33333333333334,0.34558823529411764,0.25735294117647056,0.051470588235294115,0.051470588235294115,6.717,10.844,12.803,17.692,49.56182212581345,52.0,,0.6882758620689657,0.7066666666666667,0.28888888888888886,104,2.0,,31.0,11.0,35.0,16.35,7.69,2.88,62.5,4.81,17.0,8.0,3.0,65.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.96,3.85,1.0,4.0,0.96,1.0,,,,
TTH21,e,女性,21.0,タイ語,237,タイ語,N3,397,16.541666666666668,2.169491525423729,2.875,2.0833333333333335,0.7352941176470589,0.2916666666666667,0.10294117647058823,2.0833333333333335,1.2594458438287155,4.785894206549118,5.838235294117647,2.8333333333333335,2.986595174262735,2.7265415549597853,5.216834791259419,50.8741418764302,0.3148614609571788,0.20654911838790932,0.017632241813602016,0.017632241813602016,7.472,13.461,10.228,18.192,50.08878504672897,47.671897289586305,10.285714285714286,0.6819540229885047,0.7651428571428579,0.33936842105263154,318,9.0,2.0,47.0,14.0,131.0,21.38,0.94,1.26,64.15,0.94,68.0,3.0,4.0,204.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,6.0,0.63,6.29,2.0,20.0,0.31,1.0,1.57,5.0,0.63,2.0
TTH21,m2,女性,21.0,タイ語,237,タイ語,N3,121,8.642857142857142,2.1451612903225805,2.5,0.8571428571428571,0.5217391304347826,0.14285714285714285,0.08695652173913043,0.8571428571428571,0.0,4.132231404958678,5.260869565217392,1.6428571428571428,2.869158878504673,2.457943925233645,4.692617729692543,60.5,0.39669421487603307,0.2727272727272727,0.03305785123966942,0.03305785123966942,7.148,11.995,11.593,17.121,50.483443708609265,,,0.7147222222222225,0.8444444444444444,0.4166666666666667,84,5.0,2.0,22.0,7.0,24.0,21.43,5.95,4.76,55.95,3.57,18.0,5.0,4.0,47.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,2.0,,4.76,,4.0,,,1.19,1.0,,
TTH21,m3,女性,21.0,タイ語,237,タイ語,N3,118,9.833333333333334,2.169491525423729,4.0,0.8333333333333334,0.47619047619047616,0.25,0.14285714285714285,0.8333333333333334,0.0,4.23728813559322,5.619047619047619,1.75,3.4716981132075473,2.509433962264151,4.231139606876776,41.782101167315176,0.4322033898305085,0.19491525423728814,0.03389830508474576,0.03389830508474576,6.311,8.931,9.261,10.966,44.86261980830671,,,0.710144927536232,0.7954545454545454,0.45161290322580644,80,1.0,,17.0,9.0,29.0,23.75,6.25,3.75,51.25,2.5,19.0,5.0,3.0,41.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5.0,,4.0,2.5,2.0,5.0,4.0,,
TTH21,SW2,女性,21.0,タイ語,237,タイ語,N3,112,14.0,2.076923076923077,4.625,1.125,0.5294117647058824,0.375,0.17647058823529413,1.125,1.7857142857142856,7.142857142857142,6.588235294117647,2.125,3.394230769230769,1.625,3.1403195924709864,37.93548387096774,0.25892857142857145,0.2767857142857143,0.008928571428571428,0.008928571428571428,7.147,11.997,11.011,14.824,37.333333333333336,,12.5,0.5603174603174599,0.7105263157894737,0.28,90,,1.0,16.0,5.0,46.0,18.89,,4.44,70.0,2.22,17.0,,4.0,63.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.22,,2.0,1.11,1.0,1.11,1.0,,
TTH21,m1,女性,21.0,タイ語,237,タイ語,N3,118,8.428571428571429,2.087719298245614,2.9285714285714284,0.5714285714285714,0.4,0.2857142857142857,0.2,0.5714285714285714,0.847457627118644,5.932203389830509,5.9,1.4285714285714286,3.105769230769231,2.144230769230769,4.296234062367188,64.1187214611872,0.4152542372881356,0.1864406779661017,0.00847457627118644,0.00847457627118644,6.378,9.758,12.313,17.627,59.0,,,0.7104347826086957,0.8372093023255814,0.46875,77,5.0,1.0,17.0,9.0,22.0,33.77,1.3,,55.84,,26.0,1.0,,43.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.0,2.6,3.9,2.0,3.0,,,1.3,1.0,,
TTH21,SW1,女性,21.0,タイ語,237,タイ語,N3,102,11.333333333333334,2.3703703703703702,4.555555555555555,0.7777777777777778,0.5,0.4444444444444444,0.2857142857142857,0.7777777777777778,2.941176470588235,2.941176470588235,7.285714285714286,1.5555555555555556,2.763440860215054,1.6344086021505377,2.87057417225742,36.51136363636364,0.27450980392156865,0.3137254901960784,0.0,0.0,5.875,8.63,14.693,20.29,35.25925925925926,,,0.5724528301886787,0.5882352941176471,0.30434782608695654,81,,,22.0,7.0,32.0,22.22,,1.23,70.37,1.23,18.0,,1.0,57.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,1.0,,2.47,,2.0,,,1.23,1.0,,
JJN23,SW1,女性,46.0,国内自然習得,147,ビサヤ語,N5,51,10.2,2.625,2.8,0.8,0.5,0.2,0.125,0.8,0.0,3.9215686274509802,6.375,1.6,2.4565217391304346,1.6521739130434783,2.970442628930023,32.91489361702128,0.3137254901960784,0.3137254901960784,0.0,0.0,4.58,,9.609,,32.91489361702128,,,0.59,0.7894736842105263,0.5,43,,,9.0,2.0,21.0,25.58,,2.33,69.77,,11.0,,1.0,30.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.33,,1.0,,,,,,,
JJN23,SW2,女性,46.0,国内自然習得,147,ビサヤ語,N5,71,14.2,2.739130434782609,4.4,1.8,0.6428571428571429,0.4,0.14285714285714285,1.8,0.0,7.042253521126761,5.071428571428571,2.8,3.106060606060606,1.9242424242424243,3.0210528898680806,35.5,0.29577464788732394,0.36619718309859156,0.0,0.0,5.932,8.746,14.285,17.69,35.5,,,0.5972727272727272,0.75,0.41935483870967744,60,,,21.0,1.0,26.0,26.67,,8.33,61.67,1.67,16.0,,5.0,37.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.67,,1.0,,,,,,
